DATE,MONTH,HEATHROW_cloud_cover,HEATHROW_humidity,HEATHROW_pressure,HEATHROW_global_radiation,HEATHROW_precipitation,HEATHROW_sunshine,HEATHROW_temp_mean,HEATHROW_temp_min,HEATHROW_temp_max
20000101,1,7,0.94,1.0245,0.18,0.0,0.4,7.0,4.9,10.8
20000102,1,7,0.89,1.0253,0.2,0.02,0.7,7.9,5.0,11.5
20000103,1,8,0.91,1.0186,0.13,0.6,0.0,9.4,7.2,9.5
20000104,1,5,0.89,1.0148,0.34,0.02,2.9,7.0,4.4,11.0
20000105,1,5,0.85,1.0142,0.25,0.08,1.3,6.4,1.9,10.8
20000106,1,6,0.84,1.0127,0.2,0.0,0.6,8.9,7.0,11.0
20000107,1,6,0.82,1.0172,0.31,0.2,2.2,7.2,3.4,9.2
20000108,1,4,0.81,1.0165,0.52,0.0,6.4,7.4,5.7,7.2
20000109,1,0,0.84,1.0276,0.55,0.02,7.1,3.2,-0.7,7.8
20000110,1,5,0.86,1.0347,0.4,0.0,3.7,2.2,-3.3,10.2
20000111,1,7,0.85,1.0324,0.16,0.0,0.1,5.4,0.6,8.2
20000112,1,7,0.81,1.0234,0.14,0.28,0.0,8.0,7.8,5.0
20000113,1,7,0.87,1.0154,0.14,0.02,0.0,3.8,2.7,6.3
20000114,1,6,0.86,1.0233,0.45,0.03,4.2,2.9,-0.5,6.7
20000115,1,6,0.86,1.0364,0.25,0.0,0.9,4.6,2.6,7.2
20000116,1,6,0.83,1.0405,0.44,0.0,3.9,4.7,2.2,8.6
20000117,1,5,0.91,1.0379,0.44,0.0,3.8,4.4,0.3,8.4
20000118,1,6,0.88,1.0354,0.15,0.02,0.0,4.8,1.2,7.3
20000119,1,6,0.83,1.037,0.24,0.0,0.6,5.4,3.6,5.3
20000120,1,6,0.9,1.0349,0.16,0.0,0.0,1.6,-2.2,9.2
20000121,1,5,0.8,1.0328,0.59,0.02,6.2,5.0,0.7,7.8
20000122,1,5,0.75,1.0207,0.36,0.12,2.1,5.2,2.6,7.3
20000123,1,5,0.75,1.0242,0.57,0.0,5.4,4.0,0.8,5.8
20000124,1,5,0.8,1.0254,0.61,0.0,6.0,3.1,0.4,3.7
20000125,1,6,0.91,1.0294,0.28,0.0,0.8,0.5,-2.7,6.1
20000126,1,3,0.85,1.0327,0.68,0.0,7.2,3.2,0.2,5.2
20000127,1,0,0.84,1.0297,0.74,0.0,8.1,0.8,-3.5,10.8
20000128,1,7,0.82,1.0148,0.2,0.22,0.1,4.5,-1.8,13.5
20000129,1,7,0.82,1.0003,0.49,0.0,3.3,8.4,3.4,12.9
20000130,1,7,0.77,1.0129,0.24,0.0,0.3,11.6,10.4,12.7
20000131,1,7,0.77,1.0201,0.25,0.0,0.3,11.5,10.3,10.7
20000201,2,8,0.85,1.0152,0.19,0.98,0.0,9.9,9.1,10.6
20000202,2,4,0.75,1.0211,0.74,0.0,6.9,8.2,5.8,9.3
20000203,2,7,0.85,1.0332,0.28,0.0,0.5,6.0,2.7,11.0
20000204,2,7,0.86,1.0319,0.2,0.0,0.0,7.8,4.7,11.6
20000205,2,7,0.8,1.0263,0.42,0.0,1.8,9.4,7.3,12.1
20000206,2,8,0.88,1.0159,0.24,0.18,0.1,9.6,7.2,11.0
20000207,2,6,0.81,1.0104,0.21,0.38,0.0,8.0,5.0,13.8
20000208,2,5,0.73,1.0061,0.59,0.22,3.6,10.4,7.0,10.6
20000209,2,5,0.68,1.0222,0.52,0.06,2.6,6.8,2.9,10.1
20000210,2,5,0.71,1.0155,0.48,0.3,2.0,8.0,5.9,10.4
20000211,2,3,0.76,1.0272,0.8,0.38,6.2,5.2,-0.1,9.6
20000212,2,6,0.75,1.0178,0.61,0.08,3.4,6.4,3.2,9.9
20000213,2,3,0.69,1.0202,0.97,0.0,8.5,7.4,4.8,10.2
20000214,2,5,0.9,1.0195,0.43,0.18,1.2,4.6,-1.1,8.6
20000215,2,6,0.82,1.0132,0.53,0.12,2.2,5.4,2.3,8.0
20000216,2,3,0.68,1.0043,0.97,0.0,7.8,4.7,1.4,9.6
20000217,2,6,0.71,1.0105,0.94,0.22,7.2,6.0,2.3,11.0
20000218,2,6,0.77,1.0028,0.68,0.02,3.5,7.0,3.1,9.1
20000219,2,5,0.74,1.0153,0.82,0.02,5.2,7.6,6.1,8.7
20000220,2,4,0.77,1.0296,1.05,0.06,8.2,3.8,-1.0,10.0
20000221,2,6,0.76,1.0266,0.9,0.0,5.9,5.8,1.5,9.5
20000222,2,6,0.78,1.0238,0.73,0.0,3.7,4.6,-0.3,11.7
20000223,2,8,0.89,1.0205,0.32,0.0,0.1,7.8,3.9,11.2
20000224,2,8,0.79,1.0204,0.54,1.68,1.5,9.4,7.6,10.0
20000225,2,2,0.75,1.0275,1.21,0.0,9.3,6.1,2.2,10.6
20000226,2,6,0.74,1.0287,1.01,0.0,6.4,5.2,-0.3,13.0
20000227,2,8,0.8,1.0156,0.31,0.52,0.0,8.6,4.2,10.4
20000228,2,5,0.75,1.0098,0.88,0.26,4.6,8.6,6.8,10.1
20000229,2,7,0.85,1.0008,0.35,0.56,0.1,7.8,5.5,9.3
20000301,3,3,0.69,1.0099,1.21,0.02,6.9,5.4,1.6,11.2
20000302,3,7,0.79,1.0164,0.4,0.72,0.1,5.8,0.3,10.8
